,text,target
1661,"स्कूल ऑफ जर्नलिज्म में तैनात गार्ड रमेश अहिरवार को कैंपस की सड़क पर लावारिस पर्स पड़ा मिला।
",0
100,"वह वेतन में बढ़ोतरी का हकदार है और उसने मेरा काम आसान कर दिया है।
",1
1648,"परिस्थितियों में सुधार होना काफी कठिन लग रहा है।
",0
123,"मैं इस वजह से उनका आभारी हूं।
",1
905,"यह मेरी जिंदगी का सबसे आकर्षक समय है और अगर मेरा बीता समय नहीं होता तो यह नहीं होता।
",1
2366,"वक्राचार्य का शरीर बेडौल है
",0
2347,"अकर कर्मों को करना मूर्खता ही होगी
",0
345,"उनके हाथ हिलाकर अभिवादन करने और बालों को संवारने के अंदाज के लोग कायल हो गए।
",1
1964,"हा आखिरी कोच के केबिन में शॉर्ट सर्किट से आवाज हुई, जिससे यात्री घबरा गए और भगदड़ मची।
",0
2056,"इस घटना से व्यापारी का परिवार दहशत में हैं।
",0
619,"यह वीडियो दुनिया को नम्र रहने का संदेश देती है और अमीर लोगों को भी सादगी से रहने का संदेश देती है।
",1
506,"क्रिस लिन ने नामुमकिन कैच को अपने गजब के बॉडी बैलेंस से लपक लिया।
",1
2304,"ज़बूरीवश कुछ लोगों को नापसंद वस्तुएँ खरीदनी पड़ती हैं
",0
469,"पराजित टीम सनराइजर्स हैदराबाद के कप्तान शिखर धवन ने कहा कि एबी ने वाकई जानदार और शानदार पारी खेली।
",1
502,"हम अदालत में लड़ाई लड़ने के अलावा इस मामले को सभी संभावित मंचों पर भी उठाएंगे।'
",1
1473,"जब कुली की शूटिंग के दौरान जख्मी होने की वजह जिंदगी और मौत के बीच झूलने के बाद घर लौटा था.
",0
1303,"एक साधु वेशधारी ने टैक्सी चालक को नशीला प्रसाद खिलाकर तीन हजार रुपये लूट लिए।
",0
745,"एक कुशल राजनीतिज्ञ की तरह उन्होंने क्षेत्र की दुखती रंग पर हाथ रखा।
",1
2371,"आलस्य के कारण मैं यह काम न कर सका
",0
1089,"हीर राँझा, शिरी फरहाद, ढोला मारू आदि का प्रेम अमर हो गया है
",1
1507,"जो सीधे तौर पर इसकी शुद्धता पर सवालिया निशान खड़े करते हुए स्वास्थ्य के साथ खिलवाड़ को स्पष्ट तौर पर उजागर करता है।
",0
175,"भारतीय क्रिकेट तंत्र में इतना पैसा है कि कोई भी इसकी आलोचना करके इससे वंचित नहीं होना चाहता।
",1
279,"राष्ट्रीय उच्च शिक्षा अभियान के तहत फंड देने के लिए मप्र से बरकतउल्ला विवि को चुना गया था।
",1
1740,"उन्होंने कहा कि अगर बकाये का भुगतान नहीं किया जाता है तो एनटीपीसी बिजली आपूर्ति नहीं कर पाएगी.
",0
776,"एजाज ने कई बार होस्ट रोहित शेट्टी को इम्प्रेस करने की कोशिश की थी 
",1
2308,"दुखी मनुष्य को ही दूसरों के दुख का एहसास होता है
",0
1927,"चीन में इंसानों में फैला बर्ड फ्लू  भारत हो जाये सावधान 
",0
2095,"इनकी मौजूदगी से आप उदास और सुस्त भी लगते हैं।
",0
590,"अमेरिका में अर्जित और वितरित आय पर कर दायित्व होगा।
",1
1947,"रॉयल्स की शुरुआत बेहद ही खराब रही और फॉर्म में चल रहे अजिंक्य रहाणे खाता खोले बगैर पहले ओवर में ही चलते बने।
",0
267,"गर्मियों में होने वाली बीमारियों से बचाव के लिए प्रदूषित खाद्य सामग्री के सेवन से बचना चाहिए।
",1
63,"इसलिए अभी रजिस्टर कीजिए और सबसे पहले जीतिए मेंबर मेडल।
",1
1614,"इन कंपनियों में पिछले 10 साल से कर्मचारियों की भर्तियां लगभग ठप थीं, लेकिन अब भारी तादाद में कर्मचारी रिटायर हो रहे हैं।
",0
1380,"किसान या तो सामूहिक आत्महत्या करने या खेती छोडऩे को मजबूर होंगे।
",0
732,"स्कूल स्तर से ही हस्तकौशल में पूरी तरह से दक्ष बनाया जाएगा।
",1
793,"युवक ने अपनी मेहनत व लगन से सवा करोड़ रुपये का कारोबार खड़ा कर दिया।
",1
1268,"मूवी में इतनी परेशानी नहीं आई, लेकिन प्रमोशन में सब कुछ लाइव करना है, जो ज्यादा मुश्किल है।
",0
350,"जैसे मैं पूरी तरह आश्वस्त था कि पहले मैं सीधा लड़का था।
",1
475,"टीम का हर खिलाड़ी अपने प्रभावशाली प्रदर्शन से मैच विनर साबित हो रहा है।
",1
2342,"अप्रतिपन्न व्यक्ति को नौकरी से निकाल दिया गया है
",0
882,"राजस्थान की टीम हार के बावजूद तीसरे स्थान पर ही कायम है।
",1
482,"केपी के पास काफी अनुभव है और अच्छे खिलाड़ियों के साथ खेलना सदा सुखद ही होता है।'
",1
243,"पिछले वर्ष की अपेक्षा सोने के जेवर के दाम में कमी के कारण भी सराफा बाजार गुलजार रहा।
",1
1742,"वहीं इस मैच की कमेंट्री कर रहे खिलाड़ियों ने इस घटना की जमकर आलोचना की और इसे युवा खिलाड़ियों के लिए आदर्श स्थिति नहीं बताया.
",0
2265,"खेतों में खड़ी रह गई नरवाई जलाने के घातक परिणाम निकलने के बावजूद किसान नरवाई जलाने से बाज नहीं आ रहे हैं।
",0
2233,"कलाकार मैलोड्रामैटिक हो सकते थे यदि वे ऐसा करते तो फिल्म अपने उद्देश्य से खिसक जाती।
",0
1636,"विराट कोहली को ट्विटर और अन्य नेटवर्किंग साइट से शादी के कई प्रस्ताव आ रहे हैं और इसको देखते हुए शाहरुख़ ख़ान ने स्टेज पर बनावटी स्वयंवर रच दिया.
",0
1180,"पानी रिमझिम बरस रहा है
",1
505,"कॉमरेड धनंजय तिवारी की विशेष रूचि और परिश्रम से यूपी बैंक ऐम्प्लॉईज ट्रस्ट भवन की स्थापना सम्भव हुई।
",1
2263,"मासूम आदित्य ने पहले जहां मां के फांसी लगाने की बात बताई थी वहीं आदित्य ने गुरुवार शाम पुलिस को घटना की असलियत बयां करते हुए पिता को हत्यारा बताया।
",0
1295,"लगातार विकेट गिरने से रन गति पर प्रतिकूल प्रभाव पड़ा.
",0
2280,"यह वस्त्र परिधानीय है""
",0
1345,"पुलिस फोर्स होने के बावजूद गली में सीन शूट करना असंभव हो गया था।
",0
2322,"यहाँ प्रायः ज्वालामुखी फूटता है
",0
1136,"अंत्याक्षरी एक आनंदप्रद खेल है
",1
1920,"इस फिल्म में केवल अच्छे अभिनेता जैक्सन है।
",0
108,"दिल्ली को क्वेंटन डी कॉक और मुरली विजय की जोड़ी ने अच्छी शुरुआत भी दी।
",1
314,"घरेलू' सीरीज का मतलब है कि पाकिस्तान अब तटस्थ स्थल पर भारत की मेजबानी कर सकता है
",1
1025,"सेठजी का जन्म धन-धान्य से परिपूर्ण घर में हुआ था
",1
1731,"जिसके बाद ही वे बीमार होने लगे थे।
",0
1015,"लोगों ने विजेता को अपने कंधों पर उठा लिया
",1
1063,"मंडल खुद को भाग्यशाली मानते हैं कि वह अब तक जीवित हैं.
",1
353,"मेरे लिए यह आनंद का समय था, मैं बेहतर प्रदर्शन के प्रति आश्वस्त था क्योंकि मैं फाइनल में था।
",1
975,"मनचाही भिक्षा पाकर साधु ने दाता को तृप्त मन से दुवाएँ दी
",1
291,"इंडस्‍ट्री जानकारों का मानना है कि एप्‍पल ने यह स्‍टेप अपने फोन के मार्केट को बैलेंस करने के लिए लिया है.
",1
547,"चेकिंग करने के बाद सब कुछ सही सलामत पुलिस व प्रबंधन ने राहत की सांस ली।
",1
2368,"बकवासपूर्ण बातें मत करो
",0
1016,"यह काम संभव है, मैं इसे कर दूँगा
",1
1071,"किसान फलदार वृक्ष की रखवाली कर रहा है
",1
58,"यामी ने बताया कि आयुष्मान खुराना सेट पर काफी मेहनत करते हैं और उनके साथ काम करना मजेदार रहा।.
",1
1324," रिश्तों पर शुद्ध ब्लैक एंड व्हाइट रंग चढ़ाना जायज नहीं होगा।
",0
2042,"इस घटना से व्यापारी का परिवार दहशत में हैं। भय से पुलिस में कोई तहरीर नहीं दी।
",0
705,"छात्राओं का कर्तव्य है कि अनुशासित रहकर शिक्षा प्राप्त कर समाज के विकास में अग्रसर रहे।
",1
924,"कौशिक घटक की तारीफ करनी होगी कि उन्होंने कातिल के सस्पेंस को अंत तक बरकरार रखा है।
",1
1963,"फोटो खिंचने लगे तो वहां काम कर रहे युवकों में भगदड़ मच गई।
",0
396,"ऐसा प्रतीत होता है कि भारतीय जनता पार्टी ब्याज दरों को नरम रखने की पक्षधर है और इसके लिए वह भारतीय रिजर्व बैंक पर दबाव जरूर बनाएगी।
",1
667,"विक्की अपने स्कूल में होने वाले स्वतंत्रता दिवस समारोह को ले कर बहुत उत्साहित था। 
",1
653,"मैं आशाओं के महानतम के साथ इस उपन्यास शुरू किया
",1
2064,"मौसम के बदलते तेवरों से वे काफी आतंकित थे
",0
682,"इस भालू को मीडिया ने तक़दीर वाला क़रार दिया है
",1
2146,"हादसा हालांकि बहुत भयानक नहीं था लेकिन इस हादसे ने इंडियन नेवी को एक बार फिर से चिंता में डाल दिया है।
",0
1411,"परीक्षा देने पहुंचे कुछ अभ्यर्थियों के प्रवेश पत्र पर फोटो सत्यापित नहीं था।
",0
2120,"इससे पहले रोहित का टास जीतना और फिर पारी का आगाज करने के लिये उतरना स्वयं उनके लिये अच्छा नहीं रहा।
",0
22,"बालमन की पड़ताल वह सहज और वैज्ञानिक ढंग से करते हैं।
",1
1266,"अखिलेश ने मोदी की चाय पर चुटकी ली और कहा कि अंग्रेजों ने तो देश को चाय पिलाकर गुलाम बना दिया।
",0
2067,"लोगों ने इस कदर गुस्सा था कि उन्होंने पथराव कर पीसीआर का शीशा तोड़ दिया।
",0
2021,"चेन्नई सुपर किंग्स टूर्नामेंट की भले ही सबसे मजबूत टीम हो लेकिन वह अब तक सीजन सात में पंजाब से जीत नहीं सकी है।
",0
1140,"भारत अग्रणी अनाज उत्पादकों में से एक है
",1
1327,"कांग्रेस नेता चिरंजीवी पर तब पत्थर, टमाटर और अंडे फेंके गए, जब उन्होंने नरेंद्र मोदी को 'हिटलर' कहा था।
",0
1796,"गूगल खुद अपनी परियोजना के बारे में जब तक नहीं बताता, तब तक इस परियोजना की सटीक जानकारी मिलना मुश्किल है।
",0
2235,"राजन ने कहा कि मौद्रिक नीति तो वही तय करते हैं और अगर सरकार चाहे तो उन्हें हटा सकती है।
",0
361,"उसका इलेक्ट्रो में परिवर्तित होकर अचानक स्पाइडरमैन के खिलाफ हो जाना अखरता है।
",1
298,"गौरतलब है कि हाल ही में आयुष ने अपनी और अर्पिता की साथ में एक फोटो पोस्ट की थी और लिखा था कि 'जब अर्पिता के साथ होता हूं तब एक भी लम्हा बेकार नहीं होता
",1
466,"मैकुलम ने स्मिथ को एक जानदार और समझदार खिलाड़ी बताया।
",1
603,"मैं कप्तान के रूप में अपनी छाप छोड़ सकता हूं।
",1
1772,"व्यापारी इन डग्गामार बसों में यात्रा करने को विवश हैं जिससे समय और धन दोनों की बर्बादी हो रही है।
",0
1613," प्रबंधन ने उनकी जर्सी को रिटायर करने का फैसला किया है.
",0
7,"अक्षय तृतीया एक ऐसा पवित्र मौका जिसके बारे में मान्यता है कि इस दिन का निवेश हमेश फलदायक होता है।
",1
1728," अंधाधुंधगोलीबारी में चार लोगों की मौत हो गई।
",0
1107,"सूक्ष्मदर्शी व्यक्ति बात की गहराई में जाकर उसके कारणों को समझ लेता है
",1
575,"मुझे लगता है कि भारत में लोगों की मानसिकता बदलनी चाहिए कि लड़की बोझ नहीं है.
",1
1756,"उन्होंने कहा मैं जिस जगह पर हूं, वहां तक अकेले पहुंचना असंभव था.
",0
488,"परिणाम सील अवस्था में न्यायालय के पास सुरक्षित था.
",1
381,"सूचना मिलने के बाद पुलिस सक्रिय हो गई।
",1
1818,"पिछले वर्ष भी राहुल और पैडी हमेशा मुझसे अपनी राय पूछते थे, इस वजह से इस वर्ष मुझे कुछ अटपटा नहीं लगा।
",0
1856,"डय़ूटी में लापरवाही बरतने और कर्तव्यहीनता के आरोप में निलंबित कर दिया है.
",0
718,"टीम का मानना है कि इन मरीजों में से कोई गंभीर हालत में नहीं हैं।
",1
988,"उन्होंने कई राजनैतिक प्रतिभाओं को उभारा है
",1
1500,"आदित्य चोपड़ा ने शादी का सीक्रेट प्लान तैयार किया था, जिसे वो किसी को बताना नहीं चाहती थीं।
",0
809,"इनके अलावा हरफनमौला युसफ पठान को उस भरोसे पर खरा उतरना होगा जो टीम ने उस पर दोबारा जताया है।
",1
1098,"मैं आपकी बात मानता हूँ
",1
1306,"वे वजन बढ़ाने वाले सप्लीमेंट्स  लेते हैं जो कि शरीर के लिए हानिकारक है।
",0
780,"इसका मकसद प्रतिस्पर्धी बाजार में मौजूद सभी क्षेत्रों में अपनी उत्पादकता बढ़ाना, व्यापार का उदारीकरण और उन्नत नीतियों को बढ़ावा देना होगा।'
",1
377,"उन्होंने फरहान और शाहिद की बढ़िया ऐंकरिंग की तारीफ भी की.
",1
1074,"कभी-कभी कुछ महत्वाकांक्षियों की अत्यधिक लालसा समाज के पतन में सहभागी हो जाती है
",1
328,"इससे पहले 10 साल तक एचडीएफसी बैंक लगातार मार्केट की उम्मीदों पर खरा उतरा रहा।
",1
111,"फिलहाल दोनों पुलिस कर्मियों की हालत खतरे से बाहर बताई जा रही है।
",1
777,"शोले एकमात्र ऎसी फिल्म है जिसके सभी किरदार लोकप्रिय हुये थे
",1
85,"सुभाष ने कहा कि मैं सलमान के साथ फिर से काम करना चाहता हूं।
",1
946,"कभी-कभी किसी अनचाही वस्तु की प्राप्ति सुखदायक होती है
",1
2031,"तापमान में आ रही गिरावट का असर जनजीवन पर दिख रहा है.
",0
2169,"इससे पहले वो किंग्स इलेवन पंजाब के लिए खेलते थे मगर टीम ने उन्हें रीटेन नहीं किया।
",0
1109,"शिक्षित व्यक्ति ही राष्ट्र के कर्णधार होते हैं
",1
429,"जिले के सभी 11 केंद्रों पर भी परीक्षा शांतिपूर्ण तरीके से संपन्न हुई।
",1
1400,"फिल्म देखकर कभी परदेस याद आती तो कभी ताल।
",0
64,"रोहित शर्मा कभी बल्लेबाजी क्रम में नीचे तो कभी ऊपर आ रहे हैं।
",1
1250,"व्यापारियों ने रविंद्र को घायल अवस्था में पड़े देखा तो वह उन्हें लहूलुहान हालत में अस्पताल ले गए।
",0
606,"इस अवसर पर दिल्ली से आई चलित विज्ञान प्रदर्शनी लोगों के आकर्षण का केंद्र रही।
",1
2326,"बिना पैसा लिए क्लर्क ने फाइल आगे नहीं बढ़ाई
",0
726,"मेघरंजनी मेधी असमिया फिल्मों की लोकप्रिय अभिनेत्री और निपुण कथक नृत्यांगना हैं
",1
2309,"पुलिस द्वारा सताए व्यक्ति अपनी शिकायत किससे करे
",0
689,"पौधे जिनके पुष्‍प भड़कीले और पत्तियाँ सुगंधपूर्ण होती है
",1
1695,"मोदी ने सिलवासा को गुजरात का पड़ोसी बताते हुए कहा कि मैं फिर भी यहां के लोगों की सेवा नहीं कर पाता हूं।
",0
57,"रानी मुखर्जी ने भी वक्तव्य जारी करते हुए अपने प्रशंसकों और शुभचिंतकों का शुक्रिया अदा किया है।
",1
762,"वह तब काफी युवा था लेकिन अब वह परिपक्व हो गया है।
",1
1187,"शहर में नेटवर्किंग कारोबार का मकड़जाल लगातार फैलता जा रहा है।
",0
372,"लक्शरी कार निर्माता कंपनी स्कोडा 2 मई से लेकर 31 मई 2014 तक समर चेकअप कैम्प्स लगा रही है।
",1
186,"बैंक ने कहा है कि एशिया की विकासशील अर्थव्यवस्थाओं की विकास दर मौजूदा वित्त वर्ष में 6 प्रतिशत और आगामी वित्त वर्ष में 6.2 प्रतिशत रहने की संभावना है।
",1
874,"हफ्ते के आखिरी कारोबारी दिन शेयर बाजार अब तक के सबसे उच्चतम स्तर पर बंद हुुआ।
",1
649,"भारतीय लड़कियों ने दमदार शुरुआत की हैं। 
",1
310,"मणिपुरी वाद्ययंत्र पुगचोलम के कलाकार की प्रस्तुति सराही गई।
",1
398,"स्कीम पारदर्शिता, स्पष्ट ध्येय, और पक्षपाती ना हो, इन कसौटी पर खरी होनी चाहिए।
",1
648,"किसी गरीब के साथ इस तरह का भद्दा मजाक करना ठीक नहीं है 
",1
2134,"पिछले कुछ दिनों से बाजारों में मंदी का दौर देखा जा रहा था।
",0
643,"कोर्ट का पिछला फैसला इसके विपरीत था
",1
956,"वे इस आरोही दल की अगुवाई कर रहे हैं
",1
77,"पिका आगे बढ़ना चाहती हैं और दूसरे मौके तलाशना चाहती हैं।
",1
551,"आप अपने डाटा को पासवर्ड की मदद से सुरक्षित कर सकते हैं।
",1
1523," संजू बाबा का एक एमएमएस क्लिप मार्केट में घूम रहा है, जिसमें उन्होंने इंडस्ट्री के कुछ लोगों का मज़ाक उड़ाया है।
",0
1116,"कई प्रेरकों की प्रेरणाओं ने मुझे यहाँ तक पहुँचाया है
",1
238,"विराट को हर क्रम में खेलने का अनुभव है और पूरी आशा है कि वह टीम और देशवासियों की उम्मीदों पर खरा उतरेगा।
",1
544,"वह मुलताई पुलिस के पास पहुंचा और सकुशल घर लौट आया।
",1
259,"आयुष बॉलीवुड में एक्टिंग के क्षेत्र में अपना नाम कमाना चाहता है।
",1
664,"आईएएस ने सहजता से कमान संभाली और चीजें बदल गईं।
",1
1289,"इससे पहले वे शून्य की हैट्रिक और एक मैच में एक रन पर आउट हुए थे।
",0
274,"वह बचपन से मेरे पसंदीदा बल्लेबाज हैं और अब मैं उनके साथ खेलकर काफी कुछ सीख रहा हूं.
",1
1216,"आखिरी दौर की लड़ाई में नेताओं की जुबान भी बदल गई है।
",0
1883,"उन्हें हाथ में खिंचाव के कारण अपने अंतिम ओवर की केवल तीन गेंद करने के बाद पवेलियन लौटना पड़ा था.
",0
2093,"वह जस्टिन को ज्यादा से ज्यादा दुख पहुंचाना चाहती हैं, ठीक वैसे ही जैसे जस्टिन ने उन्हें दुखी किया था.
",0
204,"जिसमें इस बीमारी के इलाज तथा इसकी प्रक्रिया को भी सत्यापित किया गया।
",1
919,"केपी के पास काफी अनुभव है और अच्छे खिलाड़ियों के साथ खेलना सदा सुखद ही होता है।
",1
145,"कंपनी ने बताया कि नया स्कूटर अधिक शक्तिशाली एवं शीघ्र ही त्वरित गति पकड़ने में सक्षम है।
",1
195,"श्रीलंका ने भी सटीक जवाब देने का प्रयास किया है.
",1
180,"इनके बाद तीसरे सबसे धनी आईपीएल टीम मालिक रॉयल चैलेंजर्स बैंगलोर के मालिक विजय माल्या हैं।
",1
1434,"लोगों ने बताया कि गर्मी के मौसम में इस समय जीना दूभर हो गया है।
",0
519,"नियमों के मुताबिक सिनेमा मालिक आपको चश्मा लेने के लिए बाध्य नहीं कर सकते।
",1
2245,"डिविलियर्स ने पांच छक्कों से सजी 53 रन की पारी खेली, लेकिन वह टीम को आठ मैचों में पांचवीं और पंजाब के खिलाफ दूसरी हार से बचा नहीं सके
",0
992,"कोई भी काम तरीक़े से करना चाहिए
",1
1817,"वे हिन्दी पारसी,अंग्रेजी और उर्दू के शब्दों को इस कदर पिरोते हैं कि सुनने में कभी अटपटा नहीं लगता।
",0
303,"एबीसी अपनी क्रेडिट कार्ड सेवाओं को उन्नत बनाने के लिए शहरों में महिला ग्राहकों को तवज्जों दे रहा है।
",1
1624,"गेल ने कहा, 'अभी तक मैं पूरी तरह से ठीक नहीं हुआ हूं।
",0
2289,"सांद्र अम्ल वाष्पशील होते हैं
",0
1893,"उनका कहना था कि इससे कोई कंपनी दिवालिया भी हो सकती है।
",0
608,"दरगाह परिसर में विद्युत सजावट की जा रही है, जो यहां से गुजरने वाले लोगों के लिए आकर्षण का केंद्र बनी हुई है।
",1
2377,"वहाँ एकदम बकवास खाना मिलता है
",0
1056,"मुम्बई इंडियंस को नसीब हुई पहली जीत
",1
1569,"यह बिल्कुल गैरजरूरी और व्यर्थ है।
",0
1705,"रैली से एक दिन पहले नरेंद्र मोदी के सुरक्षाकर्मी की हार्ट अटैक से मौत 
",0
1288,"भारतीय कप्तान रितु रानी ने मिडफील्ड में कुछ अच्छे मूव बनाए लेकिन विरोधी टीम की रक्षापंक्ति ने उन्हें नाकाम करने में कसर नहीं छोड़ी.
",0
2059,"इस वारदात के बाद गांव के लोग दहशत में है, जबकि पुलिस ने चोरी का मामला दर्ज कर जांच में लिया है।
",0
